"No","設置場所","市区町村","町目番地","経度","緯度","分類"
"227","すずらんの湯","神戸市北区","山田町小部妙賀１１?１","135.1592021","34.7349081","KOBE Free WiFi アクセスポイント"
"228","神戸海事検定株式会社うろこグループビジターセンター","神戸市中央区","北野町3-5-4","135.1900475","34.7005539","KOBE Free WiFi アクセスポイント"
"229","しあわせの村_本館","神戸市北区","しあわせの村1番1号","135.115428","34.70768","KOBE Free WiFi アクセスポイント"
"230","しあわせの村_温泉健康センター","神戸市北区","しあわせの村1番2号","135.115246","34.707786","KOBE Free WiFi アクセスポイント"
"231","しあわせの村_研修館","神戸市北区","しあわせの村1番1号","135.115536","34.707142","KOBE Free WiFi アクセスポイント"
"232","しあわせの村_たんぽぽの家","神戸市北区","しあわせの村1番7号","135.113421","34.706323","KOBE Free WiFi アクセスポイント"
"233","しあわせの村_ひよどり","神戸市北区","しあわせの村1番17号","135.115016","34.7048","KOBE Free WiFi アクセスポイント"
"234","しあわせの村_シルバーカレッジ","神戸市北区","しあわせの村1番16号","135.117396","34.703032","KOBE Free WiFi アクセスポイント"
"235","しあわせの村_あおぞら","神戸市北区","しあわせの村1番6号","135.109409","34.711481","KOBE Free WiFi アクセスポイント"
"236","市民広場駅","神戸市中央区","港島中町6","135.2134297","34.6675661","KOBE Free WiFi アクセスポイント"
"237","神戸ポートオアシス","神戸市中央区","新港町5-2","135.19885","34.6839588","KOBE Free WiFi アクセスポイント"
"238","神戸空港駅","神戸市中央区","神戸空港1","135.2287729","34.6367189","KOBE Free WiFi アクセスポイント"
"239","貿易センター駅","神戸市中央区","磯辺通3","135.1986026","34.6898637","KOBE Free WiFi アクセスポイント"
"240","有馬温泉 元湯 古泉閣","神戸市北区","有馬町1455-1","135.2505095","34.7997105","KOBE Free WiFi アクセスポイント"
"241","ポートターミナル駅","神戸市中央区","新港町4","135.2020748","34.6814091","KOBE Free WiFi アクセスポイント"
"1","神戸市総合インフォメーションセンター","神戸市中央区","雲井通８丁目","135.195","34.6938687","KOBE Free WiFi アクセスポイント"
"2","神戸国際展示場","神戸市中央区","港島中町6-9-1","135.2130103","34.6662412","KOBE Free WiFi アクセスポイント"
"3","有馬温泉観光総合案内所","神戸市北区","有馬町790番地3","135.247704","34.797802","KOBE Free WiFi アクセスポイント"
"4","神戸空港海上アクセスターミナル","神戸市中央区","神戸空港１０","135.228854","34.639735","KOBE Free WiFi アクセスポイント"
"5","中突堤旅客ターミナル","神戸市中央区","波止場町5-6","135.18886","34.679702","KOBE Free WiFi アクセスポイント"
